"data type","highlight","interaction","name","networks","normalized max weight","raw weights","selected","shared interaction","shared name"
"Pathway","1",,"H__sapiens__2_-780964|H__sapiens__2_-777445|Pathway","CELL_MAP|Wu-Stein-2010","0.009276587015575944","0.17951326072216034|0.015473525039851665","false",,"H__sapiens__2_-780964|H__sapiens__2_-777445|Pathway"
"Pathway","1",,"H__sapiens__2_-774247|H__sapiens__2_-777445|Pathway","CELL_MAP|Wu-Stein-2010","0.007037052692368215","0.13617554306983948|0.020789392292499542","false",,"H__sapiens__2_-774247|H__sapiens__2_-777445|Pathway"
"Pathway","1",,"H__sapiens__2_-774247|H__sapiens__2_-780964|Pathway","CELL_MAP|Wu-Stein-2010","0.009276587015575944","0.17951326072216034|0.013418099842965603","false",,"H__sapiens__2_-774247|H__sapiens__2_-780964|Pathway"
"Pathway","1",,"H__sapiens__2_-783570|H__sapiens__2_-777445|Pathway","CELL_MAP|Wu-Stein-2010","0.008037513729652801","0.15553568303585052|0.023973975330591202","false",,"H__sapiens__2_-783570|H__sapiens__2_-777445|Pathway"
"Pathway","1",,"H__sapiens__2_-783570|H__sapiens__2_-774247|Pathway","CELL_MAP|Wu-Stein-2010","0.008037513729652801","0.15553568303585052|0.020789392292499542","false",,"H__sapiens__2_-783570|H__sapiens__2_-774247|Pathway"
"Pathway","1",,"H__sapiens__2_-774485|H__sapiens__2_-778623|Pathway","REACTOME|Wu-Stein-2010","5.9924787876252186E-5","0.011579038575291634|0.010383594781160355","false",,"H__sapiens__2_-774485|H__sapiens__2_-778623|Pathway"
"Pathway","1",,"H__sapiens__2_-785433|H__sapiens__2_-778623|Pathway","REACTOME|Wu-Stein-2010","5.9924787876252186E-5","0.011579038575291634|0.010383594781160355","false",,"H__sapiens__2_-785433|H__sapiens__2_-778623|Pathway"
"Pathway","1",,"H__sapiens__2_-785433|H__sapiens__2_-774485|Pathway","REACTOME|Wu-Stein-2010","5.9924787876252186E-5","0.011579038575291634|0.010383594781160355","false",,"H__sapiens__2_-785433|H__sapiens__2_-774485|Pathway"
"Pathway","1",,"H__sapiens__2_-782385|H__sapiens__2_-778623|Pathway","REACTOME|Wu-Stein-2010","5.9924787876252186E-5","0.011579038575291634|0.010383594781160355","false",,"H__sapiens__2_-782385|H__sapiens__2_-778623|Pathway"
"Pathway","1",,"H__sapiens__2_-782385|H__sapiens__2_-774485|Pathway","REACTOME|Wu-Stein-2010","5.9924787876252186E-5","0.011579038575291634|0.010383594781160355","false",,"H__sapiens__2_-782385|H__sapiens__2_-774485|Pathway"
"Pathway","1",,"H__sapiens__2_-782385|H__sapiens__2_-785433|Pathway","REACTOME|Wu-Stein-2010","5.9924787876252186E-5","0.011579038575291634|0.010383594781160355","false",,"H__sapiens__2_-782385|H__sapiens__2_-785433|Pathway"
"Pathway","1",,"H__sapiens__2_-774722|H__sapiens__2_-774602|Pathway","Wu-Stein-2010","3.5956141094911073E-4","0.06857309490442276","false",,"H__sapiens__2_-774722|H__sapiens__2_-774602|Pathway"
"Pathway","1",,"H__sapiens__2_-787412|H__sapiens__2_-784549|Pathway","Wu-Stein-2010","3.662567038450261E-5","0.006984997540712357","false",,"H__sapiens__2_-787412|H__sapiens__2_-784549|Pathway"
"Pathway","1",,"H__sapiens__2_-788097|H__sapiens__2_-787412|Pathway","Wu-Stein-2010","2.242040207192868E-5","0.004275865852832794","false",,"H__sapiens__2_-788097|H__sapiens__2_-787412|Pathway"
"Pathway","1",,"H__sapiens__2_-775973|H__sapiens__2_-787412|Pathway","Wu-Stein-2010","2.792359890766561E-5","0.005325397942215204","false",,"H__sapiens__2_-775973|H__sapiens__2_-787412|Pathway"
"Pathway","1",,"H__sapiens__2_-786524|H__sapiens__2_-775973|Pathway","Wu-Stein-2010","4.541338099804341E-4","0.08660929650068283","false",,"H__sapiens__2_-786524|H__sapiens__2_-775973|Pathway"
"Pathway","1",,"H__sapiens__2_-783570|H__sapiens__2_-780964|Pathway","Wu-Stein-2010","8.113506475739683E-5","0.015473525039851665","false",,"H__sapiens__2_-783570|H__sapiens__2_-780964|Pathway"
"Pathway","1",,"H__sapiens__2_-781928|H__sapiens__2_-775973|Pathway","Wu-Stein-2010","5.4249819811077E-4","0.10346154868602753","false",,"H__sapiens__2_-781928|H__sapiens__2_-775973|Pathway"
"Pathway","1",,"H__sapiens__2_-774613|H__sapiens__2_-774722|Pathway","Wu-Stein-2010","3.074979492296673E-4","0.05864390730857849","false",,"H__sapiens__2_-774613|H__sapiens__2_-774722|Pathway"
"Physical Interactions","1",,"H__sapiens__2_-782605|H__sapiens__2_-779873|Physical Interactions","BIOGRID-SMALL-SCALE-STUDIES","7.206531602907649E-5","0.015280991792678833","false",,"H__sapiens__2_-782605|H__sapiens__2_-779873|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-773576|H__sapiens__2_-782388|Physical Interactions","BIOGRID-SMALL-SCALE-STUDIES|IREF-SMALL-SCALE-STUDIES","6.628734657671238E-4","0.07958658784627914|0.1258680671453476","false",,"H__sapiens__2_-773576|H__sapiens__2_-782388|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-774409|H__sapiens__2_-773576|Physical Interactions","BIOGRID-SMALL-SCALE-STUDIES","5.8914528144094185E-5","0.012492450885474682","false",,"H__sapiens__2_-774409|H__sapiens__2_-773576|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-774409|H__sapiens__2_-774217|Physical Interactions","BIOGRID-SMALL-SCALE-STUDIES|IREF-SMALL-SCALE-STUDIES|IREF-bind-translation","0.0012927175291891934","0.016103342175483704|0.012921077199280262|0.16376592218875885","false",,"H__sapiens__2_-774409|H__sapiens__2_-774217|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-795919|H__sapiens__2_-779873|Physical Interactions","BIOGRID-SMALL-SCALE-STUDIES|Ewing-Figeys-2007|IREF-spike","0.023510415761650968","0.007458174601197243|0.045409224927425385|0.6391055583953857","false",,"H__sapiens__2_-795919|H__sapiens__2_-779873|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-776881|H__sapiens__2_-773576|Physical Interactions","BIOGRID-SMALL-SCALE-STUDIES","4.7186099822515974E-5","0.010005512274801731","false",,"H__sapiens__2_-776881|H__sapiens__2_-773576|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-787705|H__sapiens__2_-781298|Physical Interactions","BIOGRID-SMALL-SCALE-STUDIES|IREF-SMALL-SCALE-STUDIES|Sundell-Ivarsson-2018","0.0012486070912345964","0.10274606943130493|0.01964123360812664|0.06734144687652588","false",,"H__sapiens__2_-787705|H__sapiens__2_-781298|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-774722|H__sapiens__2_-774602|Physical Interactions","BIOGRID-SMALL-SCALE-STUDIES","5.406838265435768E-5","0.011464856564998627","false",,"H__sapiens__2_-774722|H__sapiens__2_-774602|Physical Interactions"
